sample_collect_date	Genesee	Potlatch	Juliaetta	Troy	Kendrick						
2022-06-14	0.375	0.120	0.068	0.121	0.3763872						
2022-06-16	0.315	0.117	0.059	0.120	0.2983248						
2022-06-19	0.276	0.110	0.049	0.119	0.194472						
2022-06-21	0.207	0.148	0.049	0.118	0.0558288						
2022-06-23	0.225	0.142	0.032	0.118	0.0609984						
2022-06-26	0.201	0.168	0.033	0.114	0.0313344						
2022-06-28	0.183	0.156	0.031	0.116	0.020808						
2022-06-30	0.165	0.150	0.028	0.038	0.0494064						
2022-07-03	0.171	0.100	0.023	0.0243							
2022-07-05	0.162	0.102	0.023	0.0408							
2022-07-07	0.144	0.100	0.023	0.038	0.0352512						
2022-07-10	0.138	0.103	0.023	0.035	0.0180144						
2022-07-12	0.138	0.105	0.025	0.033	0.0231264						
2022-07-14	0.126	0.088	0.036	0.0333	0.0195984						
2022-07-17	0.117	0.092	0.023	0.034							
2022-07-19	0.111	0.090	0.023	0.032							
2022-07-21	0.105	0.083	0.025	0.03	0.0193248						
2022-07-24	0.105	0.085	0.025	0.032	0.019224						
2022-07-26	0.093	0.077	0.027	0.033	0.0488592						
2022-07-28	0.102	0.075	0.027	0.033	0.0589392						
2022-07-31	0.114	0.0717	0.0279	0.034							
2022-08-02	0.105	0.0707	0.0288	0.034	0.0097056						
2022-08-04	0.09	0.0707	0.0243	0.035	0.0162864						
2022-08-07	0.078	0.0713	0.027	0.037	0.0276192						
2022-08-09	0.087	0.0793	0.0261	0.037	0.0482688						
2022-08-11	0.084	0.0593	0.0252	0.038	0.0088704						
2022-08-14	0.087	0.0743	0.0261	0.038	0.030096						
2022-08-16	0.078	0.0628	0.0252	0.038	0.0103392						
2022-08-18	0.081	0.0538	0.0252	0.037	0.0142128						
2022-08-21	0.081	0.0579	0.0261	0.038	0.028						
2022-08-23	0.09	0.0659	0.0261	0.039	0.020						
2022-08-25	0.084	0.0604	0.0333	0.039	0.020						
2022-08-28	0.072	0.0636	0.0306	0.04	0.021						
2022-08-30	0.081	0.0585	0.027	0.041	0.0226						
2022-09-01	0.075	0.0619	0.0315	0.043	0.0197						
2022-09-03	0.09	0.0577	0.0315	0.042	0.0202						
2022-09-06	0.087	0.0554	0.0315	0.043	0.0287						
2022-09-08	0.084	0.0641	0.0378	0.043	0.0208						
2022-09-11	0.075	0.0628	0.0216	0.041	0.0218						
2022-09-13	0.075	0.0611	0.0297	0.044	0.0221						
2022-09-15	0.075	0.0575	0.0252	0.063	0.0231						
2022-09-18	0.081	0.0593	0.0252	0.042	0.0231						
2022-09-20	0.084	0.0587	0.0216	0.045	0.0259						
2022-09-22	0.096	0.0549	0.0216	0.047	0.0242						
2022-09-25	0.096	0.0568	0.0234	0.047	0.0305						
2022-09-27	0.093	0.0613	0.0234	0.042	0.0289						
2022-09-29	0.141	0.0552	0.0261	0.052	0.0698						
2022-10-02	0.093	0.0573	0.0234	#REF!	0.1219						
