"location"	"sample_collect_date"	"shot_1"	"shot_2"	"shot_3"	"shot_4"
"Genesee"	2021-04-19	0	1	0	0
"Genesee"	2021-04-20	0	9	0	0
"Genesee"	2021-04-21	3	1	0	0
"Genesee"	2021-04-22	1	17	0	0
"Genesee"	2021-04-23	2	9	0	0
"Genesee"	2021-04-24	0	0	0	0
"Genesee"	2021-04-25	0	0	0	0
"Genesee"	2021-04-26	0	2	0	0
"Genesee"	2021-04-27	1	3	0	0
"Genesee"	2021-04-28	2	2	0	0
"Genesee"	2021-04-29	0	13	0	0
"Genesee"	2021-04-30	1	2	0	0
"Genesee"	2021-05-01	1	3	0	0
"Genesee"	2021-05-02	0	0	0	0
"Genesee"	2021-05-03	0	1	0	0
"Genesee"	2021-05-04	0	3	0	0
"Genesee"	2021-05-05	0	5	0	0
"Genesee"	2021-05-06	1	8	0	0
"Genesee"	2021-05-07	3	12	0	0
"Genesee"	2021-05-08	0	1	0	0
"Genesee"	2021-05-09	0	0	0	0
"Genesee"	2021-05-10	2	0	0	0
"Genesee"	2021-05-11	3	0	0	0
"Genesee"	2021-05-12	0	5	0	0
"Genesee"	2021-05-13	0	1	0	0
"Genesee"	2021-05-14	1	4	0	0
"Genesee"	2021-05-15	2	1	0	0
"Genesee"	2021-05-16	0	0	0	0
"Genesee"	2021-05-17	2	0	0	0
"Genesee"	2021-05-18	2	0	0	0
"Genesee"	2021-05-19	1	0	0	0
"Genesee"	2021-05-20	6	2	0	0
"Genesee"	2021-05-21	2	3	0	0
"Genesee"	2021-05-22	2	0	0	0
"Genesee"	2021-05-23	0	0	0	0
"Genesee"	2021-05-24	6	0	0	0
"Genesee"	2021-05-25	1	0	0	0
"Genesee"	2021-05-26	0	0	0	0
"Genesee"	2021-05-27	2	2	0	0
"Genesee"	2021-05-28	3	0	0	0
"Genesee"	2021-05-29	2	2	0	0
"Genesee"	2021-05-30	0	0	0	0
"Genesee"	2021-05-31	0	0	0	0
"Genesee"	2021-06-01	2	1	0	0
"Genesee"	2021-06-02	0	0	0	0
"Genesee"	2021-06-03	0	0	0	0
"Genesee"	2021-06-04	1	1	0	0
"Genesee"	2021-06-05	1	0	0	0
"Genesee"	2021-06-06	0	0	0	0
"Genesee"	2021-06-07	0	3	0	0
"Genesee"	2021-06-08	0	0	0	0
"Genesee"	2021-06-09	0	0	0	0
"Genesee"	2021-06-10	1	6	0	0
"Genesee"	2021-06-11	1	2	0	0
"Genesee"	2021-06-12	0	1	0	0
"Genesee"	2021-06-13	0	0	0	0
"Genesee"	2021-06-14	0	0	0	0
"Genesee"	2021-06-15	2	2	0	0
"Genesee"	2021-06-16	0	0	0	0
"Genesee"	2021-06-17	2	1	0	0
"Genesee"	2021-06-18	0	4	0	0
"Genesee"	2021-06-19	0	1	0	0
"Genesee"	2021-06-20	0	3	0	0
"Genesee"	2021-06-21	0	0	0	0
"Genesee"	2021-06-22	1	0	0	0
"Genesee"	2021-06-23	0	0	0	0
"Genesee"	2021-06-24	0	0	0	0
"Genesee"	2021-06-25	0	3	0	0
"Genesee"	2021-06-26	0	0	0	0
"Genesee"	2021-06-27	0	0	0	0
"Genesee"	2021-06-28	0	0	0	0
"Genesee"	2021-06-29	0	2	0	0
"Genesee"	2021-06-30	1	0	0	0
"Genesee"	2021-07-01	0	0	0	0
"Genesee"	2021-07-02	2	0	0	0
"Genesee"	2021-07-03	0	0	0	0
"Genesee"	2021-07-04	0	0	0	0
"Genesee"	2021-07-05	0	0	0	0
"Genesee"	2021-07-06	0	2	0	0
"Genesee"	2021-07-07	0	0	0	0
"Genesee"	2021-07-08	1	1	0	0
"Genesee"	2021-07-09	0	1	1	0
"Genesee"	2021-07-10	0	0	0	0
"Genesee"	2021-07-11	0	0	0	0
"Genesee"	2021-07-12	0	0	0	0
"Genesee"	2021-07-13	1	0	0	0
"Genesee"	2021-07-14	0	1	0	0
"Genesee"	2021-07-15	0	0	0	0
"Genesee"	2021-07-16	1	0	0	0
"Genesee"	2021-07-17	1	0	0	0
"Genesee"	2021-07-18	1	0	0	0
"Genesee"	2021-07-19	3	0	0	0
"Genesee"	2021-07-20	0	0	0	0
"Genesee"	2021-07-21	1	1	0	0
"Genesee"	2021-07-22	0	0	0	0
"Genesee"	2021-07-23	0	0	0	0
"Genesee"	2021-07-24	1	0	0	0
"Genesee"	2021-07-25	0	0	0	0
"Genesee"	2021-07-26	0	1	0	0
"Genesee"	2021-07-27	3	0	0	0
"Genesee"	2021-07-28	5	1	0	0
"Genesee"	2021-07-29	1	0	0	0
"Genesee"	2021-07-30	3	1	0	0
"Genesee"	2021-07-31	2	0	0	0
"Genesee"	2021-08-01	1	0	0	0
"Genesee"	2021-08-02	1	0	0	0
"Genesee"	2021-08-03	0	0	0	0
"Genesee"	2021-08-04	1	0	0	0
"Genesee"	2021-08-05	2	1	0	0
"Genesee"	2021-08-06	3	2	0	0
"Genesee"	2021-08-07	0	0	0	0
"Genesee"	2021-08-08	2	0	0	0
"Genesee"	2021-08-09	0	4	0	0
"Genesee"	2021-08-10	0	0	0	0
"Genesee"	2021-08-11	0	0	0	0
"Genesee"	2021-08-12	3	0	0	0
"Genesee"	2021-08-13	3	0	0	0
"Genesee"	2021-08-14	0	1	0	0
"Genesee"	2021-08-15	0	1	0	0
"Genesee"	2021-08-16	0	1	0	0
"Genesee"	2021-08-17	1	2	1	0
"Genesee"	2021-08-18	1	1	1	0
"Genesee"	2021-08-19	0	0	0	0
"Genesee"	2021-08-20	5	2	0	0
"Genesee"	2021-08-21	1	2	0	0
"Genesee"	2021-08-22	0	0	0	0
"Genesee"	2021-08-23	0	0	0	0
"Genesee"	2021-08-24	3	1	1	0
"Genesee"	2021-08-25	2	4	0	0
"Genesee"	2021-08-26	3	1	0	0
"Genesee"	2021-08-27	2	1	0	0
"Genesee"	2021-08-28	3	3	0	0
"Genesee"	2021-08-29	0	1	0	0
"Genesee"	2021-08-30	3	1	0	0
"Genesee"	2021-08-31	0	0	1	0
"Genesee"	2021-09-01	1	0	1	0
"Genesee"	2021-09-02	3	0	0	0
"Genesee"	2021-09-03	0	1	1	0
"Genesee"	2021-09-04	3	1	0	0
"Genesee"	2021-09-05	0	0	0	0
"Genesee"	2021-09-06	1	1	0	0
"Genesee"	2021-09-07	0	0	0	0
"Genesee"	2021-09-08	3	0	0	0
"Genesee"	2021-09-09	1	2	0	0
"Genesee"	2021-09-10	4	4	0	0
"Genesee"	2021-09-11	1	0	0	0
"Genesee"	2021-09-12	0	0	0	0
"Genesee"	2021-09-13	0	0	0	0
"Genesee"	2021-09-14	0	2	0	0
"Genesee"	2021-09-15	1	2	0	0
"Genesee"	2021-09-16	3	1	0	0
"Genesee"	2021-09-17	3	0	0	0
"Genesee"	2021-09-18	0	4	0	0
"Genesee"	2021-09-19	2	0	0	0
"Genesee"	2021-09-20	0	2	0	0
"Genesee"	2021-09-21	8	0	0	0
"Genesee"	2021-09-22	2	0	0	0
"Genesee"	2021-09-23	0	1	0	0
"Genesee"	2021-09-24	1	0	0	0
"Genesee"	2021-09-25	1	2	0	0
"Genesee"	2021-09-26	0	0	0	0
"Genesee"	2021-09-27	3	1	7	0
"Genesee"	2021-09-28	2	1	2	0
"Genesee"	2021-09-29	0	2	1	0
"Genesee"	2021-09-30	1	1	7	0
"Genesee"	2021-10-01	2	4	1	0
"Genesee"	2021-10-02	1	1	3	0
"Genesee"	2021-10-03	0	0	0	0
"Genesee"	2021-10-04	4	2	3	0
"Genesee"	2021-10-05	1	0	0	0
"Genesee"	2021-10-06	0	0	14	0
"Genesee"	2021-10-07	1	2	2	0
"Genesee"	2021-10-08	2	0	4	0
"Genesee"	2021-10-09	0	1	0	0
"Genesee"	2021-10-10	0	2	0	0
"Genesee"	2021-10-11	2	0	1	0
"Genesee"	2021-10-12	1	2	2	0
"Genesee"	2021-10-13	2	1	2	0
"Genesee"	2021-10-14	1	4	2	0
"Genesee"	2021-10-15	0	0	2	0
"Genesee"	2021-10-16	2	2	5	0
"Genesee"	2021-10-17	0	0	0	0
"Genesee"	2021-10-18	1	3	1	0
"Genesee"	2021-10-19	0	4	2	0
"Genesee"	2021-10-20	0	1	1	0
"Genesee"	2021-10-21	1	0	3	0
"Genesee"	2021-10-22	1	1	0	0
"Genesee"	2021-10-23	2	1	1	0
"Genesee"	2021-10-24	1	0	3	0
"Genesee"	2021-10-25	1	0	1	0
"Genesee"	2021-10-26	1	0	3	0
"Genesee"	2021-10-27	1	0	23	0
"Genesee"	2021-10-28	0	1	11	0
"Genesee"	2021-10-29	0	1	3	0
"Genesee"	2021-10-30	1	0	2	0
"Genesee"	2021-10-31	0	0	0	0
"Genesee"	2021-11-01	1	4	5	0
"Genesee"	2021-11-02	0	1	3	0
"Genesee"	2021-11-03	0	1	1	0
"Genesee"	2021-11-04	0	0	5	0
"Genesee"	2021-11-05	0	2	22	0
"Genesee"	2021-11-06	1	1	2	0
"Genesee"	2021-11-07	0	2	0	0
"Genesee"	2021-11-08	0	3	2	0
"Genesee"	2021-11-09	0	0	6	0
"Genesee"	2021-11-10	1	2	7	0
"Genesee"	2021-11-11	0	3	3	0
"Genesee"	2021-11-12	1	1	0	0
"Genesee"	2021-11-13	0	1	0	0
"Genesee"	2021-11-14	0	0	0	0
"Genesee"	2021-11-15	3	0	1	0
"Genesee"	2021-11-16	1	2	3	0
"Genesee"	2021-11-17	0	1	1	0
"Genesee"	2021-11-18	1	0	10	0
"Genesee"	2021-11-19	0	2	3	0
"Genesee"	2021-11-20	2	0	2	0
"Genesee"	2021-11-21	0	0	4	0
"Genesee"	2021-11-22	0	0	7	0
"Genesee"	2021-11-23	0	0	7	0
"Genesee"	2021-11-24	0	1	2	0
"Genesee"	2021-11-25	0	0	0	0
"Genesee"	2021-11-26	1	0	1	0
"Genesee"	2021-11-27	0	0	0	0
"Genesee"	2021-11-28	0	0	0	0
"Genesee"	2021-11-29	0	0	0	0
"Genesee"	2021-11-30	1	0	4	0
"Genesee"	2021-12-01	2	1	3	0
"Genesee"	2021-12-02	0	1	7	0
"Genesee"	2021-12-03	0	0	4	0
"Genesee"	2021-12-04	1	1	1	0
"Genesee"	2021-12-05	3	0	0	0
"Genesee"	2021-12-06	2	0	4	0
"Genesee"	2021-12-07	2	0	2	0
"Genesee"	2021-12-08	0	1	4	0
"Genesee"	2021-12-09	0	1	5	0
"Genesee"	2021-12-10	0	1	3	0
"Genesee"	2021-12-11	0	2	1	0
"Genesee"	2021-12-12	0	0	0	0
"Genesee"	2021-12-13	0	1	1	0
"Genesee"	2021-12-14	1	0	6	0
"Genesee"	2021-12-15	1	0	3	0
"Genesee"	2021-12-16	0	0	1	0
"Genesee"	2021-12-17	1	1	3	0
"Genesee"	2021-12-18	0	0	1	0
"Genesee"	2021-12-19	0	1	0	0
"Genesee"	2021-12-20	0	1	7	0
"Genesee"	2021-12-21	0	0	1	0
"Genesee"	2021-12-22	1	1	1	0
"Genesee"	2021-12-23	0	1	3	0
"Genesee"	2021-12-24	0	0	0	0
"Genesee"	2021-12-25	0	0	0	0
"Genesee"	2021-12-26	0	0	0	0
"Genesee"	2021-12-27	0	0	0	0
"Genesee"	2021-12-28	0	2	1	0
"Genesee"	2021-12-29	0	0	5	0
"Genesee"	2021-12-30	1	0	0	0
"Genesee"	2021-12-31	1	0	1	0
"Genesee"	2022-01-01	0	0	0	0
"Genesee"	2022-01-02	0	0	1	0
"Genesee"	2022-01-03	3	1	0	0
"Genesee"	2022-01-04	0	0	2	0
"Genesee"	2022-01-05	0	0	4	0
"Genesee"	2022-01-06	0	0	0	0
"Genesee"	2022-01-07	1	0	1	0
"Genesee"	2022-01-08	1	0	1	0
"Genesee"	2022-01-09	1	1	1	0
"Genesee"	2022-01-10	1	0	3	0
"Genesee"	2022-01-11	0	0	5	0
"Genesee"	2022-01-12	0	1	4	0
"Genesee"	2022-01-13	1	0	1	0
"Genesee"	2022-01-14	0	1	1	0
"Genesee"	2022-01-15	0	0	1	0
"Genesee"	2022-01-16	1	0	1	0
"Genesee"	2022-01-17	0	0	1	0
"Genesee"	2022-01-18	0	0	5	0
"Genesee"	2022-01-19	0	0	0	0
"Genesee"	2022-01-20	2	0	2	0
"Genesee"	2022-01-21	0	0	4	0
"Genesee"	2022-01-22	0	0	0	0
"Genesee"	2022-01-23	1	0	0	0
"Genesee"	2022-01-24	0	0	2	0
"Genesee"	2022-01-25	0	0	2	0
"Genesee"	2022-01-26	0	0	1	0
"Genesee"	2022-01-27	0	0	1	0
"Genesee"	2022-01-28	0	0	2	0
"Genesee"	2022-01-29	0	0	0	0
"Genesee"	2022-01-30	0	1	0	0
"Genesee"	2022-01-31	0	0	0	0
"Genesee"	2022-02-01	0	0	1	0
"Genesee"	2022-02-02	0	1	0	0
"Genesee"	2022-02-03	0	1	1	0
"Genesee"	2022-02-04	0	0	0	0
"Genesee"	2022-02-05	0	0	0	0
