"location"	"County"	"sample_collect_date"	"DoseNumber"	"Number_of_Vaccines"	"StandardizedVaccines"	"labels"
"Moscow"	"Latah"	2021-02-28	1	51	0.190732637720184	"1st Dose"
"Moscow"	"Latah"	2021-03-01	1	40	0.149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-03-02	1	68	0.254310183626912	"1st Dose"
"Moscow"	"Latah"	2021-03-03	1	37	0.138374658738173	"1st Dose"
"Moscow"	"Latah"	2021-03-04	1	95	0.355286285949362	"1st Dose"
"Moscow"	"Latah"	2021-03-05	1	106	0.396424698006657	"1st Dose"
"Moscow"	"Latah"	2021-03-06	1	29	0.108455813605595	"1st Dose"
"Moscow"	"Latah"	2021-03-07	1	22	0.0822768241145892	"1st Dose"
"Moscow"	"Latah"	2021-03-08	1	53	0.198212349003328	"1st Dose"
"Moscow"	"Latah"	2021-03-09	1	99	0.370245708515651	"1st Dose"
"Moscow"	"Latah"	2021-03-10	1	119	0.445042821347096	"1st Dose"
"Moscow"	"Latah"	2021-03-11	1	116	0.433823254422379	"1st Dose"
"Moscow"	"Latah"	2021-03-12	1	75	0.280489173117918	"1st Dose"
"Moscow"	"Latah"	2021-03-13	1	27	0.10097610232245	"1st Dose"
"Moscow"	"Latah"	2021-03-14	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-03-15	1	134	0.50114065597068	"1st Dose"
"Moscow"	"Latah"	2021-03-16	1	55	0.205692060286473	"1st Dose"
"Moscow"	"Latah"	2021-03-17	1	195	0.729271850106586	"1st Dose"
"Moscow"	"Latah"	2021-03-18	1	283	1.05837914656494	"1st Dose"
"Moscow"	"Latah"	2021-03-19	1	411	1.53708066868619	"1st Dose"
"Moscow"	"Latah"	2021-03-20	1	101	0.377725419798796	"1st Dose"
"Moscow"	"Latah"	2021-03-21	1	16	0.0598376902651558	"1st Dose"
"Moscow"	"Latah"	2021-03-22	1	153	0.572197913160552	"1st Dose"
"Moscow"	"Latah"	2021-03-23	1	61	0.228131194135906	"1st Dose"
"Moscow"	"Latah"	2021-03-24	1	209	0.781629829088597	"1st Dose"
"Moscow"	"Latah"	2021-03-25	1	241	0.901305209618909	"1st Dose"
"Moscow"	"Latah"	2021-03-26	1	209	0.781629829088597	"1st Dose"
"Moscow"	"Latah"	2021-03-27	1	40	0.149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-03-28	1	2	0.00747971128314447	"1st Dose"
"Moscow"	"Latah"	2021-03-29	1	73	0.273009461834773	"1st Dose"
"Moscow"	"Latah"	2021-03-30	1	222	0.830247952429036	"1st Dose"
"Moscow"	"Latah"	2021-03-31	1	113	0.422603687497663	"1st Dose"
"Moscow"	"Latah"	2021-04-01	1	591	2.21025468416919	"1st Dose"
"Moscow"	"Latah"	2021-04-02	1	379	1.41740528815588	"1st Dose"
"Moscow"	"Latah"	2021-04-03	1	126	0.471221810838102	"1st Dose"
"Moscow"	"Latah"	2021-04-04	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-04-05	1	63	0.235610905419051	"1st Dose"
"Moscow"	"Latah"	2021-04-06	1	159	0.594637047009985	"1st Dose"
"Moscow"	"Latah"	2021-04-07	1	394	1.47350312277946	"1st Dose"
"Moscow"	"Latah"	2021-04-08	1	306	1.1443958263211	"1st Dose"
"Moscow"	"Latah"	2021-04-09	1	239	0.893825498335764	"1st Dose"
"Moscow"	"Latah"	2021-04-10	1	28	0.104715957964023	"1st Dose"
"Moscow"	"Latah"	2021-04-11	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-04-12	1	53	0.198212349003328	"1st Dose"
"Moscow"	"Latah"	2021-04-13	1	74	0.276749317476345	"1st Dose"
"Moscow"	"Latah"	2021-04-14	1	48	0.179513070795467	"1st Dose"
"Moscow"	"Latah"	2021-04-15	1	216	0.807808818579603	"1st Dose"
"Moscow"	"Latah"	2021-04-16	1	240	0.897565353977336	"1st Dose"
"Moscow"	"Latah"	2021-04-17	1	129	0.482441377762818	"1st Dose"
"Moscow"	"Latah"	2021-04-18	1	1	0.00373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-04-19	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-04-20	1	38	0.142114514379745	"1st Dose"
"Moscow"	"Latah"	2021-04-21	1	62	0.231871049777479	"1st Dose"
"Moscow"	"Latah"	2021-04-22	1	46	0.172033359512323	"1st Dose"
"Moscow"	"Latah"	2021-04-23	1	26	0.0972362466808781	"1st Dose"
"Moscow"	"Latah"	2021-04-24	1	23	0.0860166797561614	"1st Dose"
"Moscow"	"Latah"	2021-04-25	1	9	0.0336587007741501	"1st Dose"
"Moscow"	"Latah"	2021-04-26	1	19	0.0710572571898725	"1st Dose"
"Moscow"	"Latah"	2021-04-27	1	39	0.145854370021317	"1st Dose"
"Moscow"	"Latah"	2021-04-28	1	30	0.112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-04-29	1	26	0.0972362466808781	"1st Dose"
"Moscow"	"Latah"	2021-04-30	1	194	0.725531994465014	"1st Dose"
"Moscow"	"Latah"	2021-05-01	1	25	0.0934963910393059	"1st Dose"
"Moscow"	"Latah"	2021-05-02	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-05-03	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-05-04	1	31	0.115935524888739	"1st Dose"
"Moscow"	"Latah"	2021-05-05	1	28	0.104715957964023	"1st Dose"
"Moscow"	"Latah"	2021-05-06	1	40	0.149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-05-07	1	36	0.1346348030966	"1st Dose"
"Moscow"	"Latah"	2021-05-08	1	19	0.0710572571898725	"1st Dose"
"Moscow"	"Latah"	2021-05-09	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-05-10	1	24	0.0897565353977336	"1st Dose"
"Moscow"	"Latah"	2021-05-11	1	38	0.142114514379745	"1st Dose"
"Moscow"	"Latah"	2021-05-12	1	34	0.127155091813456	"1st Dose"
"Moscow"	"Latah"	2021-05-13	1	47	0.175773215153895	"1st Dose"
"Moscow"	"Latah"	2021-05-14	1	96	0.359026141590935	"1st Dose"
"Moscow"	"Latah"	2021-05-15	1	71	0.265529750551629	"1st Dose"
"Moscow"	"Latah"	2021-05-16	1	5	0.0186992782078612	"1st Dose"
"Moscow"	"Latah"	2021-05-17	1	47	0.175773215153895	"1st Dose"
"Moscow"	"Latah"	2021-05-18	1	45	0.168293503870751	"1st Dose"
"Moscow"	"Latah"	2021-05-19	1	51	0.190732637720184	"1st Dose"
"Moscow"	"Latah"	2021-05-20	1	68	0.254310183626912	"1st Dose"
"Moscow"	"Latah"	2021-05-21	1	45	0.168293503870751	"1st Dose"
"Moscow"	"Latah"	2021-05-22	1	35	0.130894947455028	"1st Dose"
"Moscow"	"Latah"	2021-05-23	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-05-24	1	38	0.142114514379745	"1st Dose"
"Moscow"	"Latah"	2021-05-25	1	46	0.172033359512323	"1st Dose"
"Moscow"	"Latah"	2021-05-26	1	66	0.246830472343768	"1st Dose"
"Moscow"	"Latah"	2021-05-27	1	41	0.153334081304462	"1st Dose"
"Moscow"	"Latah"	2021-05-28	1	29	0.108455813605595	"1st Dose"
"Moscow"	"Latah"	2021-05-29	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-05-30	1	5	0.0186992782078612	"1st Dose"
"Moscow"	"Latah"	2021-05-31	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-06-01	1	33	0.123415236171884	"1st Dose"
"Moscow"	"Latah"	2021-06-02	1	52	0.194472493361756	"1st Dose"
"Moscow"	"Latah"	2021-06-03	1	30	0.112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-06-04	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-06-05	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-06-06	1	2	0.00747971128314447	"1st Dose"
"Moscow"	"Latah"	2021-06-07	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-06-08	1	24	0.0897565353977336	"1st Dose"
"Moscow"	"Latah"	2021-06-09	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-06-10	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-06-11	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-06-12	1	9	0.0336587007741501	"1st Dose"
"Moscow"	"Latah"	2021-06-14	1	12	0.0448782676988668	"1st Dose"
"Moscow"	"Latah"	2021-06-15	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-06-16	1	27	0.10097610232245	"1st Dose"
"Moscow"	"Latah"	2021-06-17	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-06-18	1	25	0.0934963910393059	"1st Dose"
"Moscow"	"Latah"	2021-06-19	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-06-20	1	3	0.0112195669247167	"1st Dose"
